index,NCT,Sponsor,Title,Summary,Start_Year,Start_Month,Phase,Enrollment,Status,Condition
10,NCT00029822,Sanofi,"Long-Term, Efficacy and Safety of Alfuzosin 10 MG OD on the Risk of Acute Urinary Retention and the Need for Surgery in Patients With BPH. A Two Year, Randomized, Multicenter, Double-Blind, Parallel Group, Placebo-Controlled Study.","A study to determine the effect on prevention of Acute Urinary Retention (inability to urinate) in males with an enlarged prostate, also known as BPH. - Free study-related medical care provided.",2001,5,Phase 3,1522,Completed,Urinary Retention
11,NCT00029835,Sanofi,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Fixed-Dose, Multi-Center Study of Weight-Reducing Effect and Safety in Obese Patients With Untreated Dyslipidemias",To assess the effect on weight loss and weight maintenance over a period of one year when prescribed with a hypocaloric diet in obese patients with untreated dyslipidemia,2001,9,Phase 3,1033,Completed,Dyslipidemias
12,NCT00029848,Sanofi,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Fixed-Dose, Multicenter Study of Weight-Reducing Effect and Safety in Obese Patients With Type 2 Diabetes",To assess the effect on weight loss and weight maintenance over a period of one year when prescribed with a hypocaloric diet in obese patients with Type 2 Diabetes,2001,10,Phase 3,1045,Completed,Obesity
13,NCT00029861,Sanofi,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Fixed-Dose, Multicenter Study of Weight-Reducing and Prevention of Weight Regain Effects and Safety in Obese Patients With or Without Comorbidities",To assess the effects of weight loss and weight maintenance over a period of two years when prescribed with a hypocaloric diet in obese patients with or without comorbidities,2001,8,Phase 3,3045,Completed,Weight Loss
14,NCT00032734,Sanofi,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Dose-Escalation, Multicenter Study Evaluating the Efficacy and Safety of SR121463B in Patients With Syndrome of Inappropriate Antidiuretic Hormone Secretion.",The study is designed to assess the efficacy of an investigational drug called SR121463B (vasopressin receptor antagonist) in the treatment of low levels of sodium in the blood associated with the Syndrome of Inappropriate Antidiuretic Hormone Secretion (SIADH). This double blind period study is followed by 2 open label extension studies with flexible doses of satavaptan.,2001,6,Phase 2,35,Completed,Hyponatremia
15,NCT00032747,Sanofi,"A Multicenter, Randomized, Placebo-Controlled, Double-Blind Trial to Evaluate the Effects of Vasopressin V2 Receptor Antagonist on Clinical Improvement in Patients With Severe Chronic Heart Failure","This is a randomized, double-blind, placebo-controlled, parallel-group forced up-titration study. Randomization will be stratified according to the patient's baseline serum sodium concentration (137-144 and <137 mmol/L). The dose of study drug will be increased to the next level on Day 15, and the total duration of the double-blind treatment period is 120 days.",2001,8,Phase 2,338,Completed,Heart Failure
16,NCT00034294,Sanofi,"A Randomized, Double-Blind Study of GT160-246 Versus Vancomycin in Patients With C. Difficile-Associated Diarrhea","Approximately 300 patients will be entered into this study taking place throughout the United States, Canada and the United Kingdom. This study aims to determine if an investigational drug is safe and effective for treating the symptoms of C. difficile-associated diarrhea and lowering the risk of repeat episodes of diarrhea. The investigational drug will be evaluated in comparison to current standard antibiotic treatment, so all patients will receive active medication. All study-related care is provided including doctor visits, physical exams, laboratory tests and study medication. Total length of participation is approximately 10 weeks.",2002,2,Phase 2,300,Completed,Diarrhea
17,NCT00034918,Sanofi,"An Open-label, Multicenter Phase II Study to Assess the Response of Subjects With Metastatic Breast Cancer Previously Treated With Anthracycline and Taxane Therapy With or Without Capecitabine to ZD6474 (100-mg or 300-mg Daily Oral Dose).",The purpose of this study is to assess the efficacy of ZD6474 in patients with metastatic breast cancer at 2 dose levels.,2002,5,Phase 2,44,Completed,Breast Neoplasms
18,NCT00042341,Sanofi,"A Phase II, Open Label Study of Clofarabine in Pediatric Patients With Refractory or Relapsed Acute Lymphoblastic Leukemia",Clofarabine (injection) is approved by the Food and Drug Administration (FDA) for the treatment of pediatric patients 1 to 21 years old with relapsed acute lymphoblastic leukemia (ALL) who have had at least 2 prior treatment regimens. The purpose of this study is to determine whether Clofarabine is safe and effective in the treatment of Acute Lymphoblastic Leukemia (ALL.),2002,5,Phase 2,60,Completed,Leukemia
19,NCT00042354,Sanofi,"A Phase II, Open Label Study of Clofarabine in Pediatric Patients With Refractory or Relapsed Acute Myelogenous Leukemia",Clofarabine (injection) is approved by the Food and Drug Administration (FDA) for the treatment of pediatric patients 1 to 21 years old with relapsed acute lymphoblastic leukemia (ALL) who have had at least 2 prior treatment regimens. The purpose of this study is to determine whether Clofarabine is safe and effective in the treatment of Acute Myelogenous Leukemia (AML.),2002,5,Phase 2,40,Completed,Leukemia
20,NCT00043784,Sanofi,"A Prospective, Randomized, Open-Label, Multicenter Study in Patients Presenting With Acute Coronary Syndromes (ACS)",Patients experiencing a mild heart attack will receive one of two medications which thin the blood to discern which is superior.,2001,8,Phase 3,8000,Completed,Myocardial Infarction
21,NCT00044447,Sanofi,"A Double-Blind, Placebo-Controlled, Parallel Group Comparison Study to Evaluate the Role of the Addition of Amaryl to NIDDM Patients Not Responding to Maximum Dose Metformin and Thiazolidinedione Therapy",The purpose of this study is to assess the efficacy and safety of Amaryl when added to Metformin and Thiazolidinedione (TZD) in non-insulin dependent diabetes mellitus (NIDDM) patients.,2001,5,Phase 3,170,Completed,Diabetes Mellitus
22,NCT00044811,Sanofi,"A Multicenter, Double-Blind, Randomized, Parallel Groups Placebo-Controlled Study to Assess the Efficacy and Safety of Fexofenadine 120mg BID in Subjects With Mild to Moderate Persistent Asthma",The purpose of this study is to investigate the efficacy and safety of fexofenadine 120mg BID compared to placebo in the treatment of subjects with mild to moderate persistent asthma,2002,3,Phase 3,1000,Completed,Asthma
23,NCT00044824,Sanofi,"A Multicenter, Double-Blind, Randomized, Parallel Groups Placebo-Controlled Study to Assess the Efficacy and Safety of Fexofenadine 120mg BID in Subjects With Mild to Moderate Persistent Asthma",The purpose of this study is to investigate the efficacy and safety of fexofenadine 120mg BID compared to placebo in the treatment of subjects with mild to moderate persistent asthma,2002,2,Phase 3,1000,Completed,Asthma
24,NCT00044889,Sanofi,"A Phase II, Open-Label Study of Clofarabine in Adult Patients With Refractory or Relapsed Acute Myelogenous Leukemia","Clofarabine (injection) is approved by the Food and Drug Administration (FDA) for the treatment of pediatric patients 1 to 21 years old with relapsed acute lymphoblastic leukemia (ALL) who have had at least 2 prior treatment regimens. This is a single arm, open-label, Phase II study of CLOFARABINE in adult patients with refractory or relapsed acute myelogenous leukemia (AML). Qualified patients must be refractory to one or two induction regimens, or have relapsed < one year from the date of confirmation of the initial complete remission (CR). There will be two phases in this study - an Induction phase and a Consolidation phase.",2002,5,Phase 2,40,Completed,Leukemia
25,NCT00045955,Sanofi,"A Multicenter, Open-Label, Randomized, Parallel Groups Study to Assess the Long-Term Safety Performance of Fexofenadine Compared to Montelukast in Subjects With Asthma",The purpose of this study is to assess the long-term safety performance of fexofenadine compared to montelukast in subjects with asthma,2002,2,Phase 3,1200,Completed,Asthma
26,NCT00046150,Sanofi,"12-Week, Multinational, Multicenter, Controlled, Open, 1:1 Randomized, Parallel Clinical Trial Comparing the Safety of HMR1964 and Insulin Aspart Used in Continuous Subcutaneous Insulin Infusion (CSII) in Subjects With Type 1 Diabetes Mellitus","The purpose of this study is to compare the safety of HMR 1964 and insulin aspart when used in external pumps with respect to catheter occlusions, GHb assessment, insulin doses, blood glucose parameters, hypoglycemic episodes, unexplained hyperglycemia, adverse events, laboratory data, and vital signs.",2002,5,Phase 3,59,Completed,"Diabetes Mellitus, Type 1"
27,NCT00046462,Sanofi,Substituting Lantus®(Insulin Glargine[rDNAorigin]Inj) for a Thiazolidinedione vs. a 3rd Oral Agent as add-on Therapy in Patients Failing a Thiazolidinedione & Sulfonylurea or Metformin Combination,The purposes of the study is to determine whether blood sugar control is different between Lantus and a third oral anti-diabetic agent when added to patients who fail a thiazolidinedione and sulfonylurea or metformin combination.,2001,11,Phase 3,240,Completed,Diabetes Mellitus
28,NCT00046501,Sanofi,"Morning LANTUS v. Intermediate-acting Insulin 2x/Day as Basal Insulin in a Multiple Daily Inj. w/ Humalog in Adolescents w/ Type 1 Diabetes Mellitus: an Active-controlled, Open, Randomized, Gender-stratified, Two-arm, Parallel-group Study",The purpose of the study is to compare the effect in blood sugar control between Lantus and twice daily intermediate acting insulins (NPH or Lente) when used as the basal insulin in a multiple daily injection setting with fast acting insulin (Lispro),2002,11,Phase 3,250,Completed,Diabetes Mellitus
29,NCT00046683,Sanofi,"A Phase III Study to Evaluate the Efficacy and Safety of Front-Line Therapy With Alemtuzumab (Campath, MabCampath) vs Chlorambucil in Patients With Progressive B-Cell Chronic Lymphocytic Leukemia","This is a Phase III, open-label, multicenter, randomized, comparative study of Campath versus chlorambucil as front line therapy in patients with progressive B-Cell Lymphocytic Leukemia (B-CLL). Eligible patients must have previously untreated, Rai stage I-IV disease, and be experiencing progression of their B-CLL requiring treatment. Patients who meet all eligibility criteria may be randomized on a 1:1 basis to receive either Campath or chlorambucil. An estimated 284 patients (142 per treatment arm) from approximately 40 or more investigational sites will be randomized to one of the two treatment arms.",2001,7,Phase 3,284,Completed,"Leukemia, Lymphocytic, Chronic, B-Cell"
30,NCT00047788,Sanofi,A Phase Two Study of ZD6474 in Patients With Relapsed Multiple Myeloma,The primary objective is to assess the efficacy of ZD6474 when given orally to patients with relapsed multiple myeloma. A minimum of 15 and a maximum of 30 evaluable patients will be entered on study,2002,10,Phase 2,30,Completed,Multiple Myeloma
31,NCT00047840,Sanofi,"A Randomized, Double-blind, Multicenter, Phase II Study to Assess the Safety, Tolerability, and Efficacy of ZD6474 in Combination With Docetaxel (TAXOTERE™) in Subjects With Locally Advanced or Metastatic Non-small Cell Lung Cancer (NSCLC) After Failure of Prior Platinum-based Chemotherapy.",The purpose of this study is to assess the efficacy and safety of ZD6474 in patients with NSCLC after Failure of Prior Platinum-based Chemotherapy.,2002,10,Phase 2,129,Completed,"Carcinoma, Non-Small-Cell Lung"
32,NCT00050323,Sanofi,Phase 1/2 Study to Assess the Safety and Efficacy of Vaccinations With Allogeneic Dendritic Cells: Autologous Tumor-Derived Cells Subjected to Electrofusion in Patients With AJCC Stage IV Renal Cell Carcinoma,The primary purpose of this study is to determine the safety of injections prepared from donor blood cells fused to a patient's own tumor cells which are then used to treat advanced (Stage IV) kidney cancer (renal cell carcinoma or RCC). The study will also explore the effect the injections have on the size of the tumor and the response in the patient's immune system following administration.,2002,11,Phase 1/Phase 2,30,Completed,"Carcinoma, Renal Cell"
33,NCT00050778,Sanofi,"A Phase II, Randomized, Open-Label, Three-Arm Study Comparing Low- and High-Dose Alemtuzumab and High-Dose Subcutaneous Interferon Beta-1a (Rebif®) in Patients With Early, Active Relapsing-Remitting Multiple Sclerosis","This was a Phase II, randomized, open-label, rater-blinded, three-arm study comparing two different doses of alemtuzumab (Lemtrada™) and one dose of subcutaneous (SC) interferon beta-1a (Rebif®) in participants with early, active relapsing-remitting multiple sclerosis (MS) who had not been previously treated with MS therapies other than steroids. The study was conducted for an initial period of 3 years and a follow-up to 5 years or more.",2002,12,Phase 2,334,Completed,"Multiple Sclerosis, Relapsing-Remitting"
34,NCT00050817,Sanofi,"A Phase III, Multicenter, Multinational, Randomized, Parallel Group, Double-blind Trial of Clopidogrel Versus Placebo in High-risk Patients Aged 45 Years and Older, at Risk of Atherothrombotic Events, and Who Are Receiving Background Therapy Including Low-dose ASA.","RATIONALE: - Atherothrombosis is a progressive and generalized vascular disease resulting in events leading to myocardial infarction (heart attack), stroke, and vascular death. - In patients at risk for this disease, it is characterized by an unpredictable, sudden disruption of atherosclerotic plaques, which may lead to total occlusion of artery due to formation of a clot. The use of aspirin (blood thinner agent) for reducing those major ischemic events is either indicated, or recommended by international guidelines. However, aspirin fails to prevent a high percentage of such life-threatening events. Therefore, more effective blood thinning therapy may provide additional clinical benefit to such patients. - The results of the CURE trial in patients with unstable angina demonstrate the additional benefit of long-term treatment (up to one year) with clopidogrel, (a blood thinner agent), when administered in combination with standard therapy including aspirin. The purpose of CHARISMA is to investigate whether a similar clinical benefit of clopidogrel may apply to a broad population of high-risk patients receiving low-dose aspirin therapy. Such population includes patients with previous cardiovascular, neurovascular or peripheral arterial manifestations of atherothrombosis and patients with combinations of recognized risk factors for atherosclerosis. OBJECTIVES: - To assess the efficacy of clopidogrel 75 mg once-daily by comparison with a placebo, in preventing cardiovascular morbidity/mortality. The study will compare the efficacy of the two regimens in preventing the occurrence of major cardiovascular complications (stroke, heart attack, cardiovascular death) in high-risk patients who are otherwise receiving low-dose aspirin therapy (75-162 mg daily). - To evaluate the safety of clopidogrel in this population, and more specifically the incidence of fatal or severe bleeding (as per GUSTO definition), in order to estimate the global benefit of clopidogrel in this patient population.",2002,10,Phase 3,15603,Completed,Arteriosclerosis
35,NCT00051701,Sanofi,Phase I/II Study of CAMPATH in Patients With Relapsing or Refractory Non-Hodgkin's Lymphoma,The purpose of this study is to determine the optimal dose of Campath for patients with relapsing or refractory (failed standard therapy) non-Hodgkin's lymphoma. The study will also evaluate the safety of the drug and whether it is effective in treating these patients.,2002,12,Phase 1/Phase 2,61,Terminated,"Lymphoma, Non-Hodgkin"
36,NCT00051935,Sanofi,"Open-Label, Pilot Study of the Safety, Pharmacokinetics and Pharmacodynamics of Recombinant Human Acid Alpha-Glucosidase (rhGAA) as Enzyme Replacement Therapy in Siblings With Glycogen Storage Disease Type II (GSD-II).","GSD-II (also known as Pompe disease) is caused by a deficiency of a critical enzyme in the body called acid alpha-glucosidase (GAA). Normally, GAA is used by the body's cells to break down glycogen (a stored form of sugar) within specialized structures called lysosomes. In patients with GSD-II, an excessive amount of glycogen accumulates and is stored in various tissues, especially heart and skeletal muscle, which prevents their normal function. This study is being conducted to evaluate the safety, pharmacokinetics, pharmacodynamics and efficacy of recombinant human acid alpha-glucosidase (rhGAA) as a potential enzyme replacement therapy for a pair of siblings with GSD-II. To be eligible for this study, a patient must have a confirmed diagnosis of GSD-II and have a sister or brother who also has a confirmed diagnosis of GSD-II.",2003,1,Phase 2,2,Completed,Glycogen Storage Disease Type II
37,NCT00053508,Sanofi,"The Effect of Dose On Safety, Tolerability, and Immunogenicity of ACAM1000 Smallpox Vaccine in Adults Without Previous Smallpox Vaccination A Phase 2, Randomized, Double-Blind, Dose-Response Study","The purpose of this study is to examine the safety and the effectiveness of a new vaccine for the prevention of the disease, smallpox.",2002,9,Phase 2,274,Terminated,Smallpox
38,NCT00053573,Sanofi,"An Open-Label, Multicenter, Multinational, Study of the Safety, Efficacy, Pharmacokinetics, and Pharmacodynamics of rhGAA Treatment in Patients Greater Than 6 Months and Less Than or Equal to 36 Months Old With Infantile-Onset GSD-II","Glycogen Storage Disease Type II (""GSD-II""; also known as Pompe disease) is caused by a deficiency of a critical enzyme in the body called acid alpha-glucosidase (GAA). Normally, GAA is used by the body's cells to break down glycogen (a stored form of sugar) within specialized structures called lysosomes. In patients with GSD-II, an excessive amount of glycogen accumulates and is stored in various tissues, especially heart and skeletal muscle, which prevents their normal function. This study is being conducted to evaluate the safety and effectiveness of recombinant human acid alpha-glucosidase (rhGAA) as a potential enzyme replacement therapy for GSD-II. Patients diagnosed with infantile-onset GSD-II who are greater than 6 months old, but less than or equal to 36 months old will be studied.",2003,2,Phase 1/Phase 2,20,Completed,Glycogen Storage Disease Type II
39,NCT00059280,Sanofi,"An Open-label, Multicenter, Multinational Study of the Safety, Efficacy, Pharmacokinetics, and Pharmacodynamics of Recombinant Human Acid Alpha-glucosidase Treatment in Patients Less Than 6 Months Old With Infantile-onset Pompe Disease","Pompe disease (also known as glycogen storage disease type II, ""GSD-II"") is caused by a deficiency of a critical enzyme in the body called acid alpha-glucosidase (GAA). Normally, GAA is used by the body's cells to break down glycogen (a stored form of sugar) within specialized structures called lysosomes. In patients with Pompe disease, an excessive amount of glycogen accumulates and is stored in various tissues, especially heart and skeletal muscle, which prevents their normal function. This study is being conducted to evaluate the safety and effectiveness of recombinant human acid alpha-glucosidase (rhGAA) as a potential enzyme replacement therapy for Pompe disease. Patients diagnosed with infantile-onset Pompe disease who are less than or equal to 6 months old will be studied.",2003,4,Phase 2/Phase 3,16,Completed,Glycogen Storage Disease Type II
40,NCT00059722,Sanofi,"A Phase II, Randomized Double-blind, 2-part, Multicenter Study to Compare the Efficacy of ZD6474 With the Efficacy of ZD1839 (Iressa™) in Subjects With Locally Advanced or Metastatic (IIIB/IV) Non-small Cell Lung Cancer After Failure of First-line Platinum-based Chemotherapy and to Assess the Activity of ZD6474 in Subjects Following Failure of Treatment With ZD1839.",The purpose of this study is to compare the efficacy of ZD6474 and ZD1839 in patients with NSCLC after Failure of Prior Platinum-based Chemotherapy.,2003,5,Phase 2,160,Completed,"Carcinoma, Non-Small-Cell Lung"
41,NCT00062803,Sanofi,"The Van Gogh-PE Trial, a Multicenter, International, Randomized, Open-Label, Assessor-Blind, Non-Inferiority Study Comparing the Efficacy and Safety of Once-Weekly Subcutaneous SR34006 With the Combination of (LMW)Heparin and Vitamin K Antagonist (VKA) in the Treatment of Acute Symptomatic Pulmonary Embolism","Patients who have a pulmonary embolism (blood clot in the lung) will be treated in this study. The purpose of the study is to compare the safety and effectiveness of a new injectable anticoagulant (blood-thinning) drug, SR34006, with the standard way of treating a pulmonary embolism. The standard treatment includes injections or infusions of an anticoagulant drug, (LMW)heparin, for about a week followed by anticoagulant tablets (warfarin or acenocoumarol) which are taken by mouth. Assignment to either SR34006 or (LMW)heparin plus warfarin or acenocoumarol will be purely by chance and will be known by both patients and their doctors.",2003,6,Phase 3,0,Completed,Pulmonary Embolism
42,NCT00066313,Sanofi,A Phase II Study Of ZD6474 Or Placebo In Small Cell Lung Cancer Patients Who Have Complete Or Partial Response To Induction Chemotherapy +/- Radiation Therapy,RATIONALE: ZD6474 may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. ZD6474 may also stop the growth of small cell lung cancer by blocking blood flow to the tumor. PURPOSE: This randomized phase II trial is studying how well ZD6474 works compared to placebo in treating patients with small cell lung cancer that has responded to previous chemotherapy with or without radiation therapy.,2003,5,Phase 2,0,Completed,Small Cell Lung Carcinoma
43,NCT00067093,Sanofi,,"Patients who have deep vein thrombosis (blood clot in the leg) will be treated in this study. The purpose of the study is to compare the safety and effectiveness of a new injectable anticoagulant (blood thinning) drug administered once each week, SanOrg34006, with the standard way of treating deep vein thrombosis. The standard treatment includes injections or infusions of an anticoagulant drug (Unfractionated Heparin or low molecular weight heparin) for about a week, followed by vitamin K antagonist (VKA) anticoagulant tablets (warfarin or acenocoumarol) which are taken by mouth. Eligible patients will be assigned to treatment with either SanOrg34006 or the combination of Unfractionated Heparin or low molecular weight heparin plus a VKA (warfarin or acenocoumarol) by random chance. Treatment will be known to both patients and their doctors.",2003,5,Phase 3,1452,Completed,Thrombosis
44,NCT00068211,Sanofi,A Phase II Study of ILX651 Administered Intravenously Daily for Five Consecutive Days Once Every 3 Weeks in Patients With Inoperable Locally Advanced or Metastatic Melanoma.,"This is a Phase II, non-randomized, open label study of ILX651 in patients with inoperable locally advanced or metastatic melanoma. Approximately 60 patients will be enrolled in this study that is expected to last 18 months. All patients will be treated with ILX651 administered IV daily for 5 consecutive days once every 21 days. The primary objective of this study is to determine the overall response rate for all patients who are treated with ILX651. The secondary objectives are to determine the progression free survival at 18 weeks, duration of response, time to tumor progression, survival, safety/tolerability of ILX651 and to evaluate the pharmacokinetic profile.",2003,8,Phase 2,0,Completed,Melanoma
45,NCT00069784,Sanofi,"A Multicenter, International Randomized, 2x2 Factorial Design Study to Evaluate the Effects of Lantus (Insulin Glargine) Versus Standard Care, and of Omega-3 Fatty Acids Versus Placebo, in Reducing Cardiovascular Morbidity and Mortality in High Risk People With Impaired Fasting Glucose (IFG), Impaired Glucose Tolerance (IGT) or Early Type 2 Diabetes Mellitus: The ORIGIN Trial (Outcome Reduction With Initial Glargine Intervention)","The primary objectives of the ORIGIN study were: - To determine whether insulin glargine-mediated normoglycemia can reduce cardiovascular morbidity and/or mortality in people at high risk for vascular disease with either Impaired Fasting Glucose (IFG), Impaired Glucose Tolerance (IGT) or early type 2 diabetes; - To determine whether omega-3 fatty acids can reduce cardiovascular mortality in people with IFG, IGT or early type 2 diabetes. The secondary objectives of the insulin glargine study were to determine if insulin glargine-mediated normoglycemia can reduce: - total mortality (all causes); - the risk of diabetic microvascular outcomes; - the rate of progression of IGT or IFG to type 2 diabetes.",2003,8,Phase 3,12537,Completed,Diabetes Mellitus
46,NCT00069862,Sanofi,Iron Balance Study of DFO and GT56-252 in Patients With Transfusional Iron Overload Secondary to Beta-Thalassemia,"A clinical trial designed to compare the safety and iron excretion properties of desferoxamine (DFO) and deferitrin (GT56-252), an experimental oral iron chelator.",2003,9,Phase 1/Phase 2,25,Completed,beta-Thalassemia
